source_image_id,filename,filepath,source_group,sha256,width,height,blur_score,brightness,quality_status,notes
IMG_0000,P_20260903_203620_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203620_1_1.jpg,P_20260903_203620,4ebbdcd8e048578c6b746df1a13fdf86b504dc2071ef2badf30707eccbe3c021,1350,892,221.3039394401166,151.20468028566683,usable,
IMG_0001,P_20260903_203635_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203635_1_1.jpg,P_20260903_203635,e4fefab305439232ccdb30b0a42b6a1b8a91b826b2757afee87ea4500a850143,1404,691,106.26619443721258,134.82752194474335,usable,
IMG_0002,P_20260903_203635_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203635_1_2.jpg,P_20260903_203635,ecf279bdbc9377f734ed42518cf9ca721c6b6edcf1a32c7a3ff5091a90191771,1399,683,74.01867833267544,130.18301924507884,usable,
IMG_0003,P_20260903_203642_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203642_1_1.jpg,P_20260903_203642,4c26cd33cecd4c664969ed426abaedf647b76f3804aa5bf6ef8b7f402feb4422,1464,449,171.2445169628699,149.02098926576363,usable,
IMG_0004,P_20260903_203642_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203642_1_2.jpg,P_20260903_203642,898217c7efb95091678a3882655c8fcd0272bb43e39874711916122b2bbfef56,1464,1019,149.51421897559837,146.33898014232318,usable,
IMG_0005,P_20260903_203650_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203650_1_1.jpg,P_20260903_203650,70484c7ef5a78073629c9777ba41e3757fc5cc5d1fb9345ef98454ad96fe5e73,1368,715,139.1532391889482,154.76640494008916,usable,
IMG_0006,P_20260903_203652_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203652_1_1.jpg,P_20260903_203652,9035cc8deffb9cebd31e16e1c749a44d6f1a7d417b8c6abbc3fdaa4196631335,1299,964,91.25666320233533,159.81736669445695,usable,
IMG_0007,P_20260903_203652_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203652_1_2.jpg,P_20260903_203652,bc406b5346962c2fd9fd455a7beaa1d10914efa8ea87febeaa549e757748f3ba,1316,828,132.51997762444373,153.6591486424974,usable,
IMG_0008,P_20260903_203659_1_1.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203659_1_1.jpg,P_20260903_203659,9623170a854e938ca13ba550ee740e786f4955b58b24787d2be0d89adf7dcdf4,1372,979,191.80898768411055,156.36636569117653,usable,
IMG_0009,P_20260903_203659_1_2.jpg,E:/MathVisionKid\data\hwtext_v1\source\rename\P_20260903_203659_1_2.jpg,P_20260903_203659,e2f024f0458a6c3d6b455ba9b86073aee2a1fea91183bedec62758e5dfc26a0b,1372,862,177.95247913105828,151.08668057876116,usable,
