line_id	source_image_id	source_group	x	y	w	h	detector_version	crop_path	quality_score	provisional_class	raw_prelabel	verified_text	label_status	review_status
IMG_0095_L02	IMG_0095	P_20260903_203856	33	217	1286	249	v1.1	work/crops/IMG_0095_L02.jpg	103.78623866964246	TEXT_WITH_CONTEXTUAL_NUMBERS	1 gờ phữ sáp,ooshc:		PRELABELED	PENDING
IMG_0091_L00	IMG_0091	P_20260903_203850	22	0	1325	142	v1.1	work/crops/IMG_0091_L00.jpg	101.51706661345882	TEXT_WITH_CONTEXTUAL_NUMBERS	1Đgiờ 0 giây8		PRELABELED	PENDING
IMG_0091_L01	IMG_0091	P_20260903_203850	20	114	1408	244	v1.1	work/crops/IMG_0091_L01.jpg	101.51706661345882	TEXT_WITH_CONTEXTUAL_NUMBERS	2 9iờ5Dgiy giấy 2T qiây		PRELABELED	PENDING
IMG_0127_L00	IMG_0127	P_20260903_203945	36	0	1171	313	v1.1	work/crops/IMG_0127_L00.jpg	98.82082785195489	TEXT_WITH_CONTEXTUAL_NUMBERS	2  đig mẫu ố ác nhn ỗ		PRELABELED	PENDING
IMG_0087_L00	IMG_0087	P_20260903_203847	0	0	1245	371	v1.1	work/crops/IMG_0087_L00.jpg	97.9536039984407	TEXT_WITH_CONTEXTUAL_NUMBERS	My nều 2 ,ph c n han		PRELABELED	PENDING
IMG_0061_L03	IMG_0061	P_20260903_203814	10	507	1345	126	v1.1	work/crops/IMG_0061_L03.jpg	94.69319501247554	TEXT_WITH_CONTEXTUAL_NUMBERS	2Đáp số:3750 em.		PRELABELED	PENDING
IMG_0013_L00	IMG_0013	P_20260903_203706	21	0	1525	812	v1.1	work/crops/IMG_0013_L00.jpg	91.96671734382898	TEXT_WITH_CONTEXTUAL_NUMBERS	2  i ệnhh thệ tahh .h		PRELABELED	PENDING
IMG_0006_L00	IMG_0006	P_20260903_203652	0	0	1299	638	v1.1	work/crops/IMG_0006_L00.jpg	91.25666320233533	TEXT_WITH_CONTEXTUAL_NUMBERS	hệ c t động n ?h2		PRELABELED	PENDING
IMG_0006_L02	IMG_0006	P_20260903_203652	0	754	1299	210	v1.1	work/crops/IMG_0006_L02.jpg	91.25666320233533	TEXT_WITH_CONTEXTUAL_NUMBERS	Sáp số: foại B1hg.		PRELABELED	PENDING
IMG_0034_L00	IMG_0034	P_20260903_203735	11	0	1429	117	v1.1	work/crops/IMG_0034_L00.jpg	89.03419793818253	TEXT_WITH_CONTEXTUAL_NUMBERS	3m²: 3000 dm		PRELABELED	PENDING
IMG_0034_L01	IMG_0034	P_20260903_203735	0	68	1451	265	v1.1	work/crops/IMG_0034_L01.jpg	89.03419793818253	TEXT_WITH_CONTEXTUAL_NUMBERS	32 mt dm		PRELABELED	PENDING
IMG_0145_L01	IMG_0145	P_20260903_204000	0	313	1240	345	v1.1	work/crops/IMG_0145_L01.jpg	87.79576407089252	TEXT_WITH_CONTEXTUAL_NUMBERS	1hg		PRELABELED	PENDING
IMG_0092_L00	IMG_0092	P_20260903_203852	61	0	1233	327	v1.1	work/crops/IMG_0092_L00.jpg	87.01226616245555	TEXT_WITH_CONTEXTUAL_NUMBERS	223 0 nhữD phức 20 gây		PRELABELED	PENDING
IMG_0092_L01	IMG_0092	P_20260903_203852	55	309	719	107	v1.1	work/crops/IMG_0092_L01.jpg	87.01226616245555	TEXT_WITH_CONTEXTUAL_NUMBERS	Bi 8 giờ 2D phú Dậệy:		PRELABELED	PENDING
IMG_0092_L03	IMG_0092	P_20260903_203852	44	472	1214	144	v1.1	work/crops/IMG_0092_L03.jpg	87.01226616245555	TEXT_WITH_CONTEXTUAL_NUMBERS	20 phút  phút		PRELABELED	PENDING
IMG_0092_L04	IMG_0092	P_20260903_203852	38	583	1220	68	v1.1	work/crops/IMG_0092_L04.jpg	87.01226616245555	TEXT_WITH_CONTEXTUAL_NUMBERS	Igậ 9		PRELABELED	PENDING
IMG_0069_L00	IMG_0069	P_20260903_203826	42	0	1314	119	v1.1	work/crops/IMG_0069_L00.jpg	83.20249105919466	TEXT_WITH_CONTEXTUAL_NUMBERS	24ờ s180560Cm).		PRELABELED	PENDING
IMG_0069_L01	IMG_0069	P_20260903_203826	32	80	1324	118	v1.1	work/crops/IMG_0069_L01.jpg	83.20249105919466	TEXT_WITH_CONTEXTUAL_NUMBERS	 Đáp số. 60 cm..		PRELABELED	PENDING
IMG_0081_L00	IMG_0081	P_20260903_203840	30	0	1300	335	v1.1	work/crops/IMG_0081_L00.jpg	82.30805137961124	TEXT_WITH_CONTEXTUAL_NUMBERS	  iờ 2 nhiế , hh 1gniền		PRELABELED	PENDING
IMG_0157_L00	IMG_0157	P_20260903_204015	0	0	1297	313	v1.1	work/crops/IMG_0157_L00.jpg	77.66408534420415	TEXT_WITH_CONTEXTUAL_NUMBERS	Vi 30 ?mh vải màn tướ ni hãila		PRELABELED	PENDING
IMG_0157_L01	IMG_0157	P_20260903_204015	3	222	1283	358	v1.1	work/crops/IMG_0157_L01.jpg	77.66408534420415	TEXT_WITH_CONTEXTUAL_NUMBERS	i 3ỉ m ở Tệ hểy ta chun		PRELABELED	PENDING
IMG_0157_L03	IMG_0157	P_20260903_204015	0	677	1281	163	v1.1	work/crops/IMG_0157_L03.jpg	77.66408534420415	TEXT_WITH_CONTEXTUAL_NUMBERS	Đáp số: 5S quần áa (5 mét vải		PRELABELED	PENDING
IMG_0109_L02	IMG_0109	P_20260903_203916	61	423	286	34	v1.1	work/crops/IMG_0109_L02.jpg	74.59760621641249	TEXT_WITH_CONTEXTUAL_NUMBERS	K0.		PRELABELED	PENDING
IMG_0002_L01	IMG_0002	P_20260903_203635	0	321	1399	362	v1.1	work/crops/IMG_0002_L01.jpg	74.01867833267544	TEXT_WITH_CONTEXTUAL_NUMBERS	S3 ổ ouh n gpởihc dau la.		PRELABELED	PENDING
IMG_0051_L01	IMG_0051	P_20260903_203800	9	223	1059	114	v1.1	work/crops/IMG_0051_L01.jpg	73.931719930598	TEXT_WITH_CONTEXTUAL_NUMBERS	 Đáp số: 126cm².		PRELABELED	PENDING
